brand,alias
adduca,аддука
orientali,ориентали
essex,эссекс
barbanera,барбанера
seregni,серегни
meru,мери
his,хиз
secco,секко
albarino,альбарино
selian,селиан
azeitao,азейтао
vinelane,винлейн
bramasole,брамасоле
creation,креасьон
igt,игт
bourgeois,буржуа
anterra,антерра
kossler,кесслер
pointe,пуант
chavron,шаврон
nacional,насьональ
nottage,ноттидж
clinet,клине
vilarov,виларов
convento,конвенто
fermentado,ферментадо
tyrsos,тирсос
fiore,фиоре
siciliane,сицилиане
mortelle,мортелле
trevo,трево
head,хэд
monsenese,монсенезе
bianco,бьянко
haidviertel,хайдфиртель
saint-martin,сен-мартен
vieja,вьеха
stork,сторк
primitivo-merlot,примитиво-мерло
limite,лимите
shadrapa,шадрапа
trollinger,троллингер
bouquey,буке
sherry,шерри
flichman,фличман
poker,покер
malaga,малага
greyssac,грейсак
malibu,малибу
citran,ситран
castelot,кастело
tejo,тежу
massucchi,массуки
badon,бадон
frascati,фраскати
vecie,вече
atlantis,атлантис
rhone,рон
jesi,йези
bicicleta,бисиклета
catalunya,каталония
queulat,кеулат
maitre,мэтр
santiago,сантьяго
marula,марула
melodia,мелодия
saviour,севиор
cenit,зенит
coufran,куфран
conero,конеро
valjean,вальжан
rapaura,рапаура
galope,галоп
tenuta,тенута
somersby,сомерсби
del,дел
fonbadet,фонбаде
ercavio,эркавио
voskevaz,воскеваз
escudo,эскудо
stand,стэнд
santero,сантеро
vibrant,вибран
pellegrino,пеллегрино
delle,меле
ophalum,офалум
sobre,собре
fransola,франсола
vadossi,вадосси
novacella,новачелла
caesius,чезиус
delle,делль
botter,боттеро
garnacha,гарнача
